generated_id,n_nodes,n_edges,chromatic_number,edge_list,adjacency_upper_triangular
16,12,56,9,0-1;0-2;0-3;0-4;0-6;0-7;0-10;0-11;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-6;2-7;2-10;2-11;3-4;3-5;3-6;3-7;3-9;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-11;10-11,"1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1"
17,12,56,9,0-1;0-2;0-4;0-5;0-6;0-7;0-9;0-11;1-2;1-4;1-5;1-6;1-7;1-9;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-10;8-11;9-11;10-11,"1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1"
18,12,56,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-3;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-9;2-10;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-7;4-8;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-9;6-10;7-8;7-9;7-10;7-11;8-10;8-11;9-10;10-11,"1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1"
19,12,56,9,0-2;0-3;0-4;0-5;0-6;0-8;0-9;0-10;1-2;1-4;1-5;1-6;1-7;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-8;3-9;3-10;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-9;7-10;7-11;8-9;8-11;9-10;9-11,"0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0"
20,12,56,9,0-1;0-2;0-3;0-4;0-5;0-6;0-9;0-10;1-2;1-4;1-5;1-6;1-8;1-9;1-10;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-7;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-10;7-11;8-9;8-10;8-11;9-10;10-11,"1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1"
21,12,56,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-5;2-6;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-7;3-8;3-9;4-5;4-6;4-7;4-8;4-9;5-6;5-8;5-9;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;8-9;8-10;8-11;9-10;9-11;10-11,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1"
22,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-8;5-10;6-7;6-8;6-11;7-10;7-11;8-9;8-11;9-10;9-11,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0"
23,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-3;1-4;1-5;1-6;1-7;1-8;1-9;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-7;3-8;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10,"1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0"
24,12,57,9,0-1;0-2;0-3;0-4;0-5;0-7;0-8;0-9;0-10;1-3;1-4;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-7;2-8;2-9;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10;9-11,"1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0"
25,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-4;2-5;2-6;2-7;2-8;2-11;3-4;3-5;3-6;3-7;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-8;6-10;6-11;7-9;7-11;8-9;8-10;8-11;9-10;9-11;10-11,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1"
26,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-8;0-9;0-11;1-2;1-3;1-4;1-5;1-6;1-9;1-10;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-9;6-11;7-9;7-10;7-11;8-9;8-10;8-11;9-10;9-11,"1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0"
27,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-7;2-8;2-9;2-11;3-4;3-5;3-7;3-8;3-9;3-10;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10;9-11,"1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0"
28,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-4;1-5;1-6;1-8;1-9;1-10;2-4;2-5;2-6;2-7;2-9;2-10;2-11;3-4;3-5;3-6;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-11;8-9;9-10;9-11;10-11,"1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1"
29,12,57,9,0-1;0-2;0-3;0-5;0-6;0-7;0-8;0-9;0-10;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-5;2-6;2-8;2-10;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;8-9;8-10;8-11;9-11,"1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0"
30,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-4;1-5;1-6;1-7;1-8;1-9;1-10;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-5;3-6;3-7;3-8;3-9;3-11;4-5;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-10;7-8;7-9;7-10;7-11;8-9;8-10;8-11;10-11,"1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1"
31,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-3;1-6;1-7;1-8;1-9;1-10;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-5;3-6;3-7;3-9;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-9;5-10;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10;9-11,"1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0"
32,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-8;0-9;0-11;1-2;1-3;1-4;1-5;1-6;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-8;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-11;9-11;10-11,"1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1"
33,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-4;1-5;1-6;1-7;1-9;1-10;1-11;2-3;2-6;2-7;2-9;2-10;2-11;3-5;3-6;3-7;3-8;3-9;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-9;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10;9-11;10-11,"1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
34,12,57,9,0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-3;1-5;1-6;1-7;1-8;1-9;1-11;2-3;2-4;2-6;2-7;2-8;2-9;2-10;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;5-6;5-7;5-8;5-9;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10;9-11;10-11,"0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
35,12,57,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-8;3-11;4-6;4-7;4-9;4-11;5-6;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-10;8-11;9-10;9-11;10-11,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1"
36,12,57,9,0-1;0-2;0-3;0-6;0-7;0-9;0-10;0-11;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-6;2-8;2-9;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-11;8-9;8-11;9-10;9-11;10-11,"1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1"
37,12,57,9,0-1;0-2;0-3;0-5;0-6;0-7;0-10;0-11;1-3;1-5;1-6;1-7;1-8;1-9;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-9;8-11;9-10;9-11;10-11,"1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1"
